,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI Jan,Ave GHI Jan,Ave Lat Tilt Jan,Ave DNI Aug,Ave GHI Aug,Ave Lat Tilt Aug
192,Billings Metropolitan Area,45.78,-108.5,30.0,39.0,20.0,3.1,US,1596307492.0,2.9,1.47,3.09,7.1,6.12,6.53
193,Mitchell,43.71,-98.03,26.0,57.0,75.0,8.2,US,1596307493.0,2.76,1.61,3.09,5.96,5.76,6.05
194,Sioux Lookout,50.1,-91.92,18.0,77.0,75.0,3.6,CA,1596307493.0,,,,,,
195,Sandpoint,48.28,-116.55,28.33,41.0,1.0,1.22,US,1596307271.0,1.98,1.03,2.19,7.12,5.99,6.47
196,Duluth,46.78,-92.11,27.0,51.0,40.0,3.1,US,1596307493.0,2.57,1.38,2.9,5.0,5.17,5.46
197,Redding,40.59,-122.39,32.78,21.0,1.0,2.1,US,1596307266.0,3.13,1.9,3.42,8.61,7.12,7.42
198,Brownwood,31.71,-98.99,33.0,29.0,40.0,3.6,US,1596307347.0,4.77,3.08,4.72,6.34,6.37,6.34
199,Coos Bay,43.37,-124.22,24.44,82.0,40.0,4.1,US,1596307421.0,2.12,1.4,2.51,5.37,5.58,5.82
200,Lehigh Acres,26.63,-81.62,36.11,46.0,1.0,7.7,US,1596307350.0,5.36,3.77,5.28,4.22,5.47,5.39
201,Callaway,30.15,-85.57,32.22,62.0,20.0,2.1,US,1596307494.0,4.39,3.12,4.58,4.07,5.35,5.3
202,North Myrtle Beach,33.82,-78.68,30.0,84.0,1.0,6.2,US,1596307494.0,4.34,2.81,4.46,4.54,5.62,5.63
203,Haileybury,47.45,-79.64,25.0,61.0,90.0,1.5,CA,1596307494.0,,,,,,
204,Wiarton,44.74,-81.13,25.56,73.0,75.0,2.6,CA,1596307494.0,,,,,,
205,Lexington Park,38.27,-76.45,31.0,66.0,75.0,3.6,US,1596307494.0,3.55,2.22,3.82,4.74,5.59,5.69
206,Scottsbluff,41.87,-103.67,28.89,34.0,1.0,4.6,US,1596307418.0,4.32,2.17,4.3,7.07,6.37,6.66
207,Florence,43.77,11.25,32.0,35.0,0.0,4.1,IT,1596307495.0,,,,,,
208,Benjamín Hill,30.17,-111.1,35.0,50.0,0.0,3.58,MX,1596307495.0,,,,,,
209,Torrington,41.8,-73.12,31.67,53.0,92.0,0.45,US,1596307381.0,3.2,1.94,3.59,4.31,5.16,5.29
210,Grand Island,40.92,-98.34,27.22,57.0,1.0,5.7,US,1596307370.0,3.61,2.04,3.79,5.91,5.89,6.08
211,Norwalk,33.9,-118.08,29.0,39.0,1.0,3.1,US,1596307495.0,4.34,3.05,4.81,6.64,6.88,6.98
212,Etchojoa,26.92,-109.63,35.56,50.0,0.0,4.92,MX,1596307496.0,,,,,,
213,Chapais,49.78,-74.85,25.0,53.0,90.0,1.5,CA,1596307496.0,,,,,,
214,Nassau,40.75,-73.58,31.67,54.0,90.0,3.6,US,1596307496.0,2.8,1.88,3.29,4.42,5.3,5.43
215,Benton Harbor,42.12,-86.45,25.0,57.0,1.0,1.5,US,1596307496.0,1.14,1.2,1.78,4.77,5.39,5.6
216,Athens,37.98,23.72,31.67,51.0,40.0,7.7,GR,1596307343.0,,,,,,
217,Parsons,37.34,-95.26,28.0,54.0,40.0,4.1,US,1596307232.0,3.51,2.27,3.8,5.91,6.04,6.14
218,Sydney,-33.87,151.21,8.89,87.0,59.0,3.1,AU,1596307204.0,,,,,,
