,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI,Ave GHI,Ave Lat Tilt
239,Rohnert Park,38.34,-122.7,14.44,100.0,90.0,5.1,US,1596171076.0,5.36,5.36,5.36
240,Clarence Town,-32.58,151.78,15.56,67.0,75.0,4.6,AU,1596171311.0,,,
241,Atlantic Beach,30.33,-81.4,24.44,83.0,75.0,3.1,US,1596170739.0,4.64,4.64,4.64
242,Huron,41.15,-82.55,19.44,84.0,100.0,4.08,US,1596171311.0,3.46,3.46,3.46
243,General Bravo,25.8,-99.17,26.74,80.0,97.0,9.74,MX,1596171311.0,,,
244,Hays,30.05,-98.03,28.33,75.0,20.0,1.34,US,1596171307.0,4.71,4.71,4.71
245,Bullhead City,35.15,-114.57,44.0,8.0,1.0,3.1,US,1596170728.0,7.43,7.43,7.43
246,,,,,,,,,,,,
247,Warrington,53.39,-2.58,18.33,77.0,22.0,3.1,GB,1596171311.0,,,
248,Astoria,46.19,-123.83,17.22,87.0,1.0,3.1,US,1596171217.0,2.99,2.99,2.99
249,Hamilton,39.18,-84.53,21.67,95.0,93.0,0.89,US,1596171163.0,4.03,4.03,4.03
250,Ojinaga,29.57,-104.42,31.0,38.0,1.0,3.6,MX,1596171312.0,6.93,6.93,6.93
251,Kingman,35.19,-114.05,32.0,13.0,1.0,4.1,US,1596170542.0,7.99,7.99,7.99
252,Sioux Falls,43.55,-96.7,19.0,82.0,40.0,1.5,US,1596171300.0,4.39,4.39,4.39
253,Edwardsville,38.81,-89.95,21.67,100.0,90.0,2.6,US,1596171312.0,4.31,4.31,4.31
254,Hibbing,47.43,-92.94,14.0,87.0,1.0,0.3,US,1596171313.0,4.0,4.0,4.0
255,Fulton,33.77,-84.45,26.0,78.0,1.0,2.1,US,1596171313.0,4.42,4.42,4.42
256,Redmond,47.67,-122.12,26.11,57.0,0.0,0.45,US,1596171313.0,3.41,3.41,3.41
257,Lake Charles,30.21,-93.2,27.0,88.0,40.0,2.1,US,1596171313.0,4.25,4.25,4.25
258,Ahome,25.92,-109.18,27.78,86.0,53.0,1.79,MX,1596171313.0,,,
259,Bay City,43.59,-83.89,21.0,82.0,90.0,2.1,US,1596171313.0,3.64,3.64,3.64
260,Mountain Home,43.13,-115.69,29.0,21.0,40.0,2.1,US,1596170717.0,6.32,6.32,6.32
261,West Wendover,40.74,-114.07,31.0,15.0,1.0,4.6,US,1596171314.0,6.58,6.58,6.58
262,Emporia,38.4,-96.18,21.0,100.0,90.0,4.6,US,1596171314.0,4.83,4.83,4.83
263,Naples,40.83,14.25,25.0,83.0,0.0,1.0,IT,1596170746.0,,,
264,Gloversville,43.05,-74.34,17.0,72.0,1.0,2.1,US,1596171125.0,3.75,3.75,3.75
265,Bobcaygeon,44.55,-78.54,17.78,100.0,1.0,2.07,CA,1596171117.0,,,
266,Worthington,40.09,-83.02,21.11,100.0,90.0,3.08,US,1596171314.0,3.62,3.62,3.62
